id,city,type,squareMeters,rooms,floor,floorCount,buildYear,ownership,buildingMaterial,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,price_per_m2,building_age
eefee992206427b02e66c7c8ee9105f9,bydgoszcz,tenement,38.0,3,,1.0,,condominium,brick,False,False,False,True,False,265000,6973.68,Old
9430f8aed9b9253b5823405e54f0a8b3,wroclaw,apartmentBuilding,92.13,5,,1.0,,condominium,brick,False,True,False,False,False,1082527,11749.99,Old
a2e91249a8891d4ec183d15c7d135d38,lodz,blockOfFlats,62.6,2,,1.0,,condominium,brick,True,False,False,False,True,369000,5894.57,Old
98b3b369d18806a0c9a1657b15988cf9,wroclaw,tenement,32.87,2,1.0,1.0,,condominium,brick,False,False,,False,False,450000,13690.3,Old
bfc4249b6cd80ab8a2d1018bd7339ac8,katowice,unknown,72.1,3,1.0,1.0,,condominium,unknown,True,True,False,False,True,595000,8252.43,Old
875e415dc4bd0575ff6db43053ac86c4,lodz,blockOfFlats,46.0,3,1.0,1.0,,condominium,brick,False,False,False,False,True,259000,5630.43,Old
88ba5cfd2bc6ad40d1b7f4e34eb837e4,warszawa,apartmentBuilding,93.1,3,1.0,1.0,,condominium,brick,True,True,False,False,False,1750000,18796.99,Old
49f2ffd92a66f7c97e6a8c7bc1996372,bydgoszcz,unknown,25.55,1,1.0,1.0,,condominium,unknown,False,False,False,False,False,180000,7045.01,Old
107e8c85e74d0fd3c81631dc36c0e3ef,krakow,unknown,37.0,2,1.0,1.0,,condominium,unknown,False,False,True,False,False,420000,11351.35,Old
a161768453895f350b9402ae204fe266,warszawa,apartmentBuilding,80.44,5,1.0,1.0,,condominium,brick,False,True,True,False,False,1315194,16350.0,Old
c6605c078d3b6797b04b721d057bd908,bydgoszcz,unknown,43.73,2,1.0,1.0,,condominium,unknown,False,False,,False,False,260000,5945.58,Old
1e7f4f1fdfea31eb84e071d697839632,bydgoszcz,unknown,50.12,2,1.0,1.0,,condominium,brick,True,False,False,False,False,360000,7182.76,Old
7cb304f6e834a519268abdbbcecb1296,bydgoszcz,unknown,50.0,2,1.0,1.0,,condominium,unknown,True,False,,False,False,360000,7200.0,Old
b633fe8a1ddc28918dcb36f1de5ec098,krakow,tenement,65.5,2,1.0,1.0,,condominium,brick,True,False,,False,False,1296900,19800.0,Old
5662be4d18b3f5c2d545b45f62abd774,katowice,tenement,100.0,4,1.0,1.0,,condominium,brick,False,False,False,False,True,520000,5200.0,Old
120dea529c40ec5a7d2408d894a98b6f,wroclaw,tenement,33.0,2,1.0,1.0,,condominium,brick,False,False,False,False,False,279000,8454.55,Old
08afc3c1b77073ea1f65bab7d9c314ee,katowice,blockOfFlats,51.0,2,,1.0,,condominium,unknown,True,False,False,False,False,399000,7823.53,Old
62a38bacc794440a93bd1b6ce09e26f7,warszawa,unknown,100.0,3,1.0,1.0,,condominium,brick,True,False,False,False,True,790000,7900.0,Old
c4283ca0183f744c2de4a6bb5cf62eb6,bydgoszcz,unknown,47.0,3,1.0,1.0,,condominium,unknown,False,False,,False,False,340000,7234.04,Old
da899602f9e8c0eac970cb1d53414cb9,szczecin,blockOfFlats,80.0,3,,1.0,,condominium,brick,True,False,False,True,True,920000,11500.0,Old
d37837b5ccffbd7541e5362d4dd97f3f,krakow,unknown,43.67,2,1.0,1.0,,condominium,unknown,False,False,False,True,False,660000,15113.35,Old
2a2b66b57ef5dd14f7b70b0170ad725e,warszawa,unknown,46.0,2,1.0,1.0,,condominium,unknown,False,True,False,False,False,520000,11304.35,Old
94841e79bf26fd25bc642f7a60cfc823,gdansk,unknown,65.0,2,1.0,1.0,,condominium,unknown,False,False,False,False,False,845000,13000.0,Old
9eeb5b6608959cbefb5eefe552e6ed07,bydgoszcz,unknown,32.0,1,1.0,1.0,,condominium,unknown,False,False,False,False,False,219000,6843.75,Old
5523747c2c9cdc04c652612eef626c60,katowice,blockOfFlats,53.11,2,1.0,1.0,,condominium,brick,False,False,False,False,True,270000,5083.79,Old
5b26bd439f67c9a527a5c633b661ff65,lublin,blockOfFlats,49.56,2,1.0,1.0,,cooperative,unknown,True,True,False,False,True,385000,7768.36,Old
0dd1737c053d3e4aa98bcf98859a88d8,katowice,unknown,62.0,2,1.0,1.0,,condominium,unknown,False,False,False,False,False,455000,7338.71,Old
bd7bc45b93961e7c0885b14701c2c443,warszawa,unknown,58.7,2,1.0,1.0,,condominium,unknown,False,False,False,False,False,470000,8006.81,Old
40f976978fdd4cd0f06b1b6dd0e6ed47,gdansk,tenement,91.0,4,1.0,1.0,,condominium,brick,True,False,False,False,True,1099000,12076.92,Old
43d5008a1b0049cf2eb0c4326ecc7aac,gdansk,unknown,78.8,3,,1.0,,condominium,unknown,False,False,False,False,False,1199000,15215.74,Old
360d92286afc042fab16df6056904e96,katowice,unknown,123.0,4,1.0,1.0,,condominium,unknown,True,True,False,False,True,950000,7723.58,Old
